timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,payload,payload_cog_0,payload_cog_1,payload_cog_2,payload_inertia_0,payload_inertia_1,payload_inertia_2,payload_inertia_3,payload_inertia_4,payload_inertia_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
9620.704,0.658669,-1.327358,0.677716,0.316148,-0.148707,-1.280287,-9.5E-05,0.01155,-0.032736,0.021456,-0.000199,-0.000274,-0.002425,0.293482,-0.83136,0.544729,-0.005051,-0.006952,-0.003735,-0.455894,-0.864256,0.13882,0.025823,-0.004624,-0.015244,-8.022576,-5.554377,-0.280067,0.120866,-0.000496,0.658726,-1.327355,0.677815,0.316303,-0.148876,-1.280247,3.8E-05,0.023374,-0.037702,0.011002,-0.00012,9.6E-05,0.013458,-0.61908,-0.992802,0.136517,0.027975,0.007833,0.011215,-0.614594,-0.989752,0.138755,0.026856,0.010071,-0.07707,-0.303107,0.4315,0.602104,1.550009,-0.625337,-0.003109,-0.002446,0.001102,-0.001876,0.002633,0.00012,-1.971832,-0.768949,-5.793471,-0.670234,-0.623265,0.320246,-0.077102,-0.303117,0.431526,0.602056,1.55006,-0.625747,0,0,0.002915,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.498288,7,253,253,253,253,253,253,1,-8.972534,0.281703,-0.40757,1,0.23,0.011605,48.251743,48.251743,0.78776,47.986,48.061001,48.014999,48,47.971001,48.091,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.712,0.658668,-1.327258,0.677431,0.316334,-0.148709,-1.280289,-0.000112,0.01357,-0.038456,0.025202,-0.000234,-0.000322,-0.002088,0.252566,-0.715019,0.46834,-0.004344,-0.005974,-0.003966,-0.457125,-0.861895,0.13837,0.025093,-0.005392,-0.013117,-8.043828,-5.524112,-0.285188,0.120791,-0.000427,0.658714,-1.327235,0.677491,0.316519,-0.148852,-1.280223,3.8E-05,0.00721,-0.038421,0.032381,-0.00012,9.6E-05,0.006729,-0.565247,-0.974501,-0.034689,0.029094,0.002238,0.011215,-0.563004,-0.962301,-0.038046,0.032451,0.005595,-0.077075,-0.303109,0.431528,0.602154,1.549979,-0.625339,0.001926,0.001438,0.00487,0.000743,-0.001024,-3.2E-05,-5.418698,5.371891,-1.102028,-3.959545,-4.11032,1.920789,-0.077102,-0.303117,0.431552,0.602056,1.55006,-0.625747,0,0,0.003422,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.6045,7,253,253,253,253,253,253,1,-9.565908,-0.791165,-0.209779,1,0.23,0.014392,48.251743,48.251743,0.78776,47.986,48.061001,48.014999,48,47.971001,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.72,0.658667,-1.327141,0.6771,0.316551,-0.148711,-1.280292,-0.000129,0.015595,-0.044184,0.028953,-0.000268,-0.00037,-0.002093,0.253052,-0.715997,0.468836,-0.00435,-0.005977,-0.004387,-0.4565,-0.862942,0.139191,0.024381,-0.006177,-0.013141,-8.044004,-5.523487,-0.285148,0.120789,-0.000427,0.658726,-1.327115,0.677239,0.316663,-0.148876,-1.280259,3.8E-05,0.018484,-0.038661,0.012631,-0.00012,9.6E-05,0.011215,-0.6931,-1.011102,0.148826,0.024618,-0.002238,0.011215,-0.717773,-0.986702,0.152183,0.038046,0.002238,-0.077078,-0.303115,0.431543,0.602111,1.550001,-0.62533,-0.001885,-0.001499,0.002458,-0.004466,0.005964,0.000108,-4.844224,-2.699052,-4.648621,-1.528706,-1.605792,1.062342,-0.077102,-0.303117,0.431581,0.602056,1.55006,-0.625747,0,0,0.00393,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.597432,7,253,253,253,253,253,253,1,-8.915594,-0.125867,-0.491481,1,0.23,0.016702,48.251743,48.251743,0.751955,47.986,48.061001,48.014999,48,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.728,0.658666,-1.327008,0.676724,0.316797,-0.148713,-1.280295,-0.000146,0.017624,-0.049921,0.032708,-0.000303,-0.000417,-0.002098,0.253611,-0.717124,0.469406,-0.004357,-0.005981,-0.00481,-0.455874,-0.863987,0.140014,0.023668,-0.006963,-0.013169,-8.044201,-5.522778,-0.285103,0.120788,-0.000427,0.65869,-1.32702,0.676891,0.316951,-0.14884,-1.280247,3.8E-05,0.011831,-0.049759,0.033532,-0.00012,9.6E-05,0.013458,-0.488983,-0.965351,-0.002238,0.029094,-0.005595,0.011215,-0.48674,-0.942475,0.001119,0.042522,-0.001119,-0.077081,-0.303107,0.43158,0.602195,1.549952,-0.625352,0.001375,0.001005,0.005828,-0.002632,0.003402,-2.6E-05,0.030751,5.764829,-4.690464,-1.345353,-1.369121,0.203238,-0.077102,-0.303117,0.431615,0.602056,1.55006,-0.625747,0,0,0.004438,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.58782,7,253,253,253,253,253,253,1,-9.206287,-0.212776,-0.347633,1,0.23,0.019014,48.251743,48.251743,0.68034,47.986,48.061001,48.014999,48,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.736,0.658665,-1.326859,0.676301,0.317074,-0.148716,-1.280299,-0.000162,0.019658,-0.055668,0.036469,-0.000338,-0.000465,-0.002105,0.254245,-0.718399,0.470053,-0.004364,-0.005985,-0.005234,-0.455249,-0.865033,0.14084,0.022953,-0.00775,-0.013201,-8.044417,-5.521984,-0.285051,0.120786,-0.000427,0.658726,-1.326864,0.676495,0.317167,-0.148876,-1.280223,3.8E-05,0.018676,-0.052227,0.036264,-0.00012,7.2E-05,0.008972,-0.677399,-0.939425,0.111899,0.036927,-0.007833,0.008972,-0.717773,-0.962301,0.11078,0.043641,-0.005595,-0.077075,-0.303112,0.431611,0.602147,1.54998,-0.625296,0.000133,3.9E-05,0.004555,0.001693,-0.00221,-3.8E-05,-11.304006,-1.774505,4.034603,-4.382216,-4.681707,3.109355,-0.077102,-0.303117,0.431652,0.602056,1.55006,-0.625747,0,0,0.004946,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.57588,7,253,253,253,253,253,253,1,-9.275214,-0.344636,-0.281703,1,0.23,0.021327,48.251743,48.251743,0.78776,47.986,48.061001,48.014999,48,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.744,0.658663,-1.326694,0.675833,0.317381,-0.148719,-1.280303,-0.000179,0.021697,-0.061427,0.040235,-0.000373,-0.000513,-0.002112,0.254952,-0.719825,0.470775,-0.004373,-0.005989,-0.00566,-0.454623,-0.866078,0.141669,0.022237,-0.008537,-0.013236,-8.044654,-5.521107,-0.284994,0.120783,-0.000428,0.658702,-1.326696,0.676052,0.317491,-0.148864,-1.280235,3.8E-05,0.025292,-0.060329,0.037391,-0.00012,7.2E-05,0.015701,-0.529358,-0.898249,0.036927,0.051474,-0.01119,0.008972,-0.529358,-0.896724,0.042522,0.052593,-0.023499,-0.077082,-0.303112,0.431648,0.602196,1.549949,-0.625298,-0.000973,-0.000822,0.004417,0.001494,-0.00191,-3.4E-05,-7.444572,3.491669,3.776725,-3.609253,-3.848286,2.25463,-0.077102,-0.303117,0.431694,0.602056,1.55006,-0.625747,0,0,0.005454,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.528348,7,253,253,253,253,253,253,1,-9.158338,-0.353627,-0.365614,1,0.23,0.023643,48.251743,48.251743,0.751955,47.971001,48.061001,48.014999,48,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.752,0.658662,-1.326512,0.675319,0.317718,-0.148722,-1.280307,-0.000196,0.023743,-0.067198,0.044008,-0.000408,-0.000561,-0.002119,0.255735,-0.721403,0.471575,-0.004382,-0.005994,-0.006088,-0.453998,-0.867124,0.142501,0.021519,-0.009325,-0.013275,-8.04491,-5.520145,-0.284931,0.120781,-0.000428,0.658726,-1.326516,0.67556,0.317766,-0.148864,-1.280259,3.8E-05,0.01858,-0.061311,0.04125,-0.00012,7.2E-05,0.011215,-0.603378,-0.852498,0.085044,0.043641,-0.024618,0.008972,-0.601135,-0.840298,0.081687,0.052593,-0.027975,-0.077079,-0.303117,0.431691,0.602137,1.549982,-0.625327,0.000807,0.000552,0.006189,-0.000875,0.001107,-6.2E-05,-14.322574,-0.477348,11.121798,-5.632916,-6.122762,4.085065,-0.077102,-0.303117,0.431739,0.602056,1.55006,-0.625747,0,0,0.005962,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.501432,7,253,253,253,253,253,253,1,-9.449031,-0.383595,-0.230757,1,0.23,0.025961,48.251743,48.251743,0.751955,47.971001,48.061001,48.014999,48,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.76,0.65866,-1.326314,0.674758,0.318085,-0.148725,-1.280312,-0.000213,0.025796,-0.072983,0.047787,-0.000443,-0.000609,-0.002128,0.256594,-0.723134,0.472453,-0.004392,-0.006,-0.006518,-0.453371,-0.868171,0.143335,0.0208,-0.010113,-0.013318,-8.045186,-5.519098,-0.284861,0.120778,-0.000428,0.658702,-1.326361,0.675031,0.31809,-0.14884,-1.280271,3.8E-05,0.026154,-0.070276,0.039979,-0.00012,7.2E-05,0.002243,-0.551788,-0.9196,0.119732,0.057069,-0.039165,0,-0.547302,-0.92265,0.119732,0.057069,-0.03357,-0.077082,-0.303113,0.431747,0.602132,1.549993,-0.625412,-0.000641,-0.000572,0.006014,-0.002464,0.003241,-4.1E-05,-3.569193,-0.668545,0.119186,-0.917418,-1.188667,0.919165,-0.077102,-0.303117,0.431789,0.602056,1.55006,-0.625747,0,0,0.006469,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.516504,7,253,253,253,253,253,253,1,-8.990515,-0.188801,-0.428548,1,0.23,0.028282,48.251743,48.251743,0.751955,47.971001,48.061001,48.029999,47.986,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.768,0.658658,-1.326099,0.674151,0.318483,-0.148729,-1.280317,-0.00023,0.027856,-0.078783,0.051575,-0.000479,-0.000657,-0.002137,0.257529,-0.72502,0.473409,-0.004403,-0.006006,-0.00695,-0.452744,-0.869218,0.144173,0.020079,-0.010902,-0.013365,-8.045481,-5.517968,-0.284785,0.120776,-0.000429,0.658726,-1.326157,0.674383,0.318474,-0.148828,-1.280235,3.8E-05,0.026653,-0.082787,0.050597,-0.00012,7.2E-05,-0.004486,-0.500198,-1.029403,0.06714,0.049236,-0.081687,-0.004486,-0.500198,-1.023303,0.063783,0.060426,-0.032451,-0.077072,-0.303114,0.431811,0.602108,1.550008,-0.625425,0.000401,0.00022,0.008048,-0.003343,0.004325,-1E-04,8.303131,1.323439,-12.698041,3.561502,3.34024,-2.446062,-0.077102,-0.303117,0.431843,0.602056,1.55006,-0.625747,0,0,0.006977,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.533712,7,253,253,253,253,253,253,1,-9.479,-0.524447,-0.272712,1,0.23,0.030605,48.251743,48.251743,0.716145,47.971001,48.061001,48.029999,47.986,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.776,0.658657,-1.325868,0.673497,0.31891,-0.148733,-1.280322,-0.000248,0.029924,-0.084599,0.05537,-0.000514,-0.000705,-0.002148,0.258542,-0.727063,0.474446,-0.004415,-0.006012,-0.007385,-0.452116,-0.870267,0.145014,0.019356,-0.011693,-0.013416,-8.045794,-5.516753,-0.284704,0.120773,-0.000429,0.658726,-1.325941,0.673723,0.318905,-0.1489,-1.280235,3.8E-05,0.0288,-0.082859,0.050741,-9.6E-05,7.2E-05,0.006729,-0.540573,-1.011102,0.106304,0.066021,-0.069378,0.002243,-0.53833,-1.006527,0.100709,0.063783,-0.046998,-0.077064,-0.303107,0.431872,0.602058,1.550048,-0.625376,-6E-05,-0.000138,0.007526,-0.001991,0.002565,-0.000123,4.368538,0.233127,-9.760386,2.518202,2.293603,-1.485263,-0.077102,-0.303117,0.431901,0.602056,1.55006,-0.625747,0,0,0.007485,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.501912,7,253,253,253,253,253,253,1,-9.095405,-0.335646,-0.311671,1,0.23,0.032931,48.251743,48.251743,0.751955,47.971001,48.122002,48.029999,47.986,47.939999,48.105999,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.784,0.658654,-1.325621,0.672797,0.319368,-0.148737,-1.280328,-0.000265,0.032002,-0.090434,0.059175,-0.000549,-0.000753,-0.002158,0.259634,-0.729266,0.475564,-0.004428,-0.00602,-0.007822,-0.451487,-0.871318,0.145859,0.01863,-0.012484,-0.013472,-8.046126,-5.515453,-0.284615,0.120769,-0.00043,0.658714,-1.325737,0.673039,0.319337,-0.148864,-1.280235,3.8E-05,0.030948,-0.088444,0.0575,-9.6E-05,7.2E-05,-0.008972,-0.480011,-0.893674,0.106304,0.058188,-0.05595,-0.004486,-0.477768,-0.907399,0.100709,0.06714,-0.045879,-0.077062,-0.303103,0.431944,0.60206,1.550051,-0.625454,0.000118,-8E-06,0.007923,1.8E-05,-8E-05,-0.000162,-0.966334,0.115039,0.307305,-0.015698,-0.321632,0.316353,-0.077102,-0.303117,0.431963,0.602056,1.55006,-0.625747,0,0,0.007993,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.510456,7,253,253,253,253,253,253,1,-9.104395,-0.326655,-0.359621,1,0.23,0.035261,48.251743,48.251743,0.823566,47.971001,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.792,0.658652,-1.325356,0.67205,0.319857,-0.148742,-1.280334,-0.000282,0.034088,-0.096287,0.062989,-0.000585,-0.000802,-0.00217,0.260805,-0.73163,0.476764,-0.004442,-0.006027,-0.008262,-0.450856,-0.87237,0.146707,0.017903,-0.013276,-0.013531,-8.046475,-5.514069,-0.284521,0.120766,-0.00043,0.658738,-1.325474,0.672247,0.319781,-0.148876,-1.280259,3.8E-05,0.033096,-0.097024,0.061,-9.6E-05,7.2E-05,0.002243,-0.480011,-0.767096,0.11078,0.077211,0.001119,-0.002243,-0.484497,-0.776246,0.108542,0.070497,-0.051474,-0.077055,-0.303105,0.432019,0.601962,1.550113,-0.625511,0.000182,3.5E-05,0.00893,-0.00177,0.002245,-0.000176,-13.391634,1.409028,14.387572,-5.390385,-5.681558,4.034344,-0.077102,-0.303117,0.432029,0.602056,1.55006,-0.625747,0,0,0.008501,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.504948,7,253,253,253,253,253,253,1,-9.197297,-0.422554,-0.365614,1,0.23,0.037594,48.251743,48.251743,0.751955,47.971001,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.8,0.65865,-1.325075,0.671257,0.320376,-0.148746,-1.280341,-0.0003,0.036184,-0.10216,0.066813,-0.000621,-0.00085,-0.002183,0.262058,-0.734159,0.478048,-0.004457,-0.006035,-0.008705,-0.450224,-0.873425,0.147559,0.017172,-0.014069,-0.013594,-8.046842,-5.512601,-0.28442,0.120762,-0.000431,0.65875,-1.325175,0.671467,0.320284,-0.148888,-1.280295,3.8E-05,0.035397,-0.097671,0.062965,-9.6E-05,-7.2E-05,-0.02916,-0.477768,-0.870799,0.129803,0.077211,-0.046998,-0.026917,-0.480011,-0.869273,0.125327,0.073854,-0.057069,-0.077056,-0.30311,0.432082,0.601935,1.550123,-0.625502,-0.000168,-0.000238,0.008445,0.000333,-0.000524,-0.000179,-2.028095,-0.956863,2.295126,-0.450795,-0.73214,0.800549,-0.077102,-0.303117,0.432099,0.602056,1.55006,-0.625747,0,0,0.009009,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.51732,7,253,253,253,253,253,253,1,-9.074427,-0.34164,-0.338643,1,0.23,0.039931,48.251743,48.251743,0.751955,47.971001,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.808,0.658647,-1.324777,0.670416,0.320926,-0.148752,-1.280348,-0.000317,0.038292,-0.108055,0.070648,-0.000656,-0.000898,-0.002196,0.263392,-0.736854,0.479418,-0.004473,-0.006044,-0.009151,-0.449589,-0.874482,0.148416,0.01644,-0.014863,-0.013662,-8.047225,-5.511048,-0.284312,0.120758,-0.000432,0.658726,-1.324923,0.670639,0.320872,-0.14884,-1.280295,-5.8E-05,0.036355,-0.108122,0.070084,-9.6E-05,-7.2E-05,-0.031403,-0.466553,-0.950101,0.107423,0.064902,-0.071616,-0.033646,-0.466553,-0.954676,0.106304,0.077211,-0.063783,-0.077053,-0.303102,0.432166,0.601993,1.550087,-0.625555,0.000441,0.000253,0.010032,-0.001129,0.001346,-0.000312,5.087524,-0.294856,-6.158456,2.311282,2.073852,-1.282409,-0.077102,-0.303117,0.432173,0.602056,1.55006,-0.625747,0,0,0.009516,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.505248,7,253,253,253,253,253,253,1,-9.13736,-0.434542,-0.362617,1,0.23,0.042271,48.251743,48.251743,0.716145,47.971001,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.816,0.658645,-1.324462,0.669528,0.321507,-0.148757,-1.280355,-0.000335,0.04041,-0.113972,0.074495,-0.000692,-0.000947,-0.00221,0.26481,-0.739719,0.480874,-0.00449,-0.006053,-0.0096,-0.448952,-0.875543,0.149276,0.015704,-0.015658,-0.013734,-8.047625,-5.509411,-0.284197,0.120754,-0.000432,0.658702,-1.324623,0.669727,0.321459,-0.148876,-1.280295,-5.8E-05,0.038982,-0.112843,0.069844,-9.6E-05,-7.2E-05,-0.035889,-0.504685,-0.901299,0.106304,0.068259,-0.087282,-0.040375,-0.511414,-0.899774,0.107423,0.064902,-0.083925,-0.077053,-0.303095,0.432251,0.601976,1.550111,-0.625565,1.5E-05,-7.9E-05,0.01026,-0.002541,0.003205,-0.000304,-1.429707,-1.918806,1.425678,-0.05482,-0.566974,0.619062,-0.077102,-0.303117,0.432251,0.602056,1.55006,-0.625747,0,0,0.010024,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.59022,7,253,253,253,253,253,253,1,-9.203291,-0.413564,-0.29369,1,0.23,0.044616,48.251743,48.251743,0.716145,47.971001,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.824,0.658642,-1.324131,0.668592,0.322118,-0.148763,-1.280363,-0.000353,0.042541,-0.119915,0.078355,-0.000728,-0.000995,-0.002225,0.266313,-0.742757,0.482418,-0.004508,-0.006063,-0.010053,-0.448313,-0.876606,0.15014,0.014965,-0.016455,-0.01381,-8.048041,-5.50769,-0.284076,0.12075,-0.000433,0.658666,-1.324288,0.668803,0.322035,-0.148864,-1.280307,-5.8E-05,0.041839,-0.118716,0.078233,-9.6E-05,-7.2E-05,-0.047104,-0.471039,-0.799122,0.090639,0.061545,-0.080568,-0.047104,-0.473282,-0.793021,0.08952,0.06714,-0.081687,-0.077068,-0.303096,0.432331,0.601997,1.550107,-0.625624,0.00016,2.3E-05,0.010503,0.000715,-0.001069,-0.000354,-8.043817,-1.899211,11.780618,-3.0991,-3.76839,2.761826,-0.077102,-0.303117,0.432333,0.602056,1.55006,-0.625747,0,0,0.010532,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.533208,7,253,253,253,253,253,253,1,-9.098401,-0.2847,-0.356624,1,0.23,0.046966,48.251743,48.251743,0.78776,47.955002,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.832,0.658639,-1.323782,0.667609,0.32276,-0.148769,-1.280371,-0.000371,0.044684,-0.125882,0.082227,-0.000765,-0.001044,-0.002241,0.267903,-0.74597,0.484053,-0.004527,-0.006073,-0.010509,-0.447671,-0.877674,0.15101,0.014224,-0.017253,-0.01389,-8.048471,-5.505884,-0.283948,0.120745,-0.000434,0.65869,-1.32394,0.667819,0.32267,-0.14884,-1.280439,-5.8E-05,0.04368,-0.12315,0.078784,-9.6E-05,-0.018312,-0.07402,-0.473282,-0.924175,0.107423,0.063783,0.004476,-0.053833,-0.466553,-0.930275,0.100709,0.066021,0.032451,-0.077061,-0.3031,0.432419,0.601896,1.550151,-0.625729,-4.7E-05,-0.00014,0.010855,-0.01348,0.013354,0.000653,1.291359,0.196677,-2.388491,-0.752093,-0.654659,0.429643,-0.077102,-0.303117,0.43242,0.602056,1.55006,-0.625747,0,0,0.01104,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.499944,7,253,253,253,253,253,253,1,-9.275214,-0.371608,-0.22776,1,0.23,0.04932,48.251743,48.251743,0.78776,47.955002,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620.84,0.658636,-1.323416,0.666578,0.323434,-0.148775,-1.28038,-0.000387,0.046646,-0.131331,0.085757,-0.000798,-0.001088,-0.002056,0.245321,-0.681067,0.441183,-0.004132,-0.005518,-0.010817,-0.448187,-0.87665,0.151069,0.013536,-0.017968,-0.012719,-8.061399,-5.486744,-0.286809,0.120699,-0.000394,0.65869,-1.323569,0.666775,0.323366,-0.14884,-1.280391,-5.8E-05,0.046326,-0.128567,0.087964,-9.6E-05,0.003739,-0.116638,-0.38356,-0.972976,0.091757,0.062664,0.029094,-0.062805,-0.388046,-0.956201,0.090639,0.064902,0.032451,-0.07706,-0.3031,0.43251,0.601949,1.550119,-0.625678,0.000183,2.8E-05,0.011049,0.006066,-0.007219,-0.000618,11.979574,1.908237,-12.088585,2.355231,2.856398,-2.141203,-0.077102,-0.303117,0.43251,0.602056,1.55006,-0.625747,0,0,0.0115,0,0,0,0,36.339981,37.369984,38.899982,44.919983,47.149982,48.359982,0.519276,7,253,253,253,253,253,253,1,-9.125373,-0.161829,-0.410567,1,0.23,0.051669,48.251743,48.251743,0.751955,47.955002,48.122002,48.029999,47.986,47.939999,48.061001,0,2,0.004028,0.004028,0.004,0.004,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
